pw_name	freq
ko00830  Retinol metabolism	2
ko00930  Caprolactam degradation	2
ko00950  Isoquinoline alkaloid biosynthesis	2
ko01040  Biosynthesis of unsaturated fatty acids	2
ko03320  PPAR signaling pathway	2
ko04260  Cardiac muscle contraction	2
ko05014  Amyotrophic lateral sclerosis (ALS)	2
ko05111  Vibrio cholerae pathogenic cycle	2
ko05204  Chemical carcinogenesis	2
ko00040  Pentose and glucuronate interconversions	1
ko00061  Fatty acid biosynthesis	1
ko00290  Valine, leucine and isoleucine biosynthesis	1
ko00311  Penicillin and cephalosporin biosynthesis	1
ko00363  Bisphenol degradation	1
ko00460  Cyanoamino acid metabolism	1
ko00471  D-Glutamine and D-glutamate metabolism	1
ko00472  D-Arginine and D-ornithine metabolism	1
ko00473  D-Alanine metabolism	1
ko00511  Other glycan degradation	1
ko00521  Streptomycin biosynthesis	1
ko00550  Peptidoglycan biosynthesis	1
ko00561  Glycerolipid metabolism	1
ko00565  Ether lipid metabolism	1
ko00590  Arachidonic acid metabolism	1
ko00591  Linoleic acid metabolism	1
ko00633  Nitrotoluene degradation	1
ko00670  One carbon pool by folate	1
ko00730  Thiamine metabolism	1
ko00770  Pantothenate and CoA biosynthesis	1
ko00785  Lipoic acid metabolism	1
ko00940  Phenylpropanoid biosynthesis	1
ko00983  Drug metabolism - other enzymes	1
ko03010  Ribosome	1
ko03018  RNA degradation	1
ko03060  Protein export	1
ko03410  Base excision repair	1
ko03440  Homologous recombination	1
ko03460  Fanconi anemia pathway	1
ko04066  HIF-1 signaling pathway	1
ko04112  Cell cycle - Caulobacter	1
ko04115  p53 signaling pathway	1
ko04122  Sulfur relay system	1
ko04146  Peroxisome	1
ko04210  Apoptosis	1
ko04964  Proximal tubule bicarbonate reclamation	1
ko05100  Bacterial invasion of epithelial cells	1
ko05120  Epithelial cell signaling in Helicobacter pylori infection	1
ko05134  Legionellosis	1
ko05145  Toxoplasmosis	1
ko05152  Tuberculosis	1
ko05161  Hepatitis B	1
ko05164  Influenza A	1
ko05168  Herpes simplex infection	1
ko05200  Pathways in cancer	1
ko05202  Transcriptional misregulation in cancer	1
ko05210  Colorectal cancer	1
ko05219  Bladder cancer	1
ko05222  Small cell lung cancer	1
ko05416  Viral myocarditis	1
