## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_NODE_10119_length_4082_cov_2_73729_ID_20237,5,VIRSorter_NODE_10119_length_4082_cov_2_73729_ID_20237,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10137_length_4078_cov_6_49987_ID_20273,4,VIRSorter_NODE_10137_length_4078_cov_6_49987_ID_20273,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_10174_length_4070_cov_20_4953_ID_20347,5,VIRSorter_NODE_10174_length_4070_cov_20_4953_ID_20347,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10179_length_4068_cov_1_17635_ID_20357,6,VIRSorter_NODE_10179_length_4068_cov_1_17635_ID_20357,6,1,2,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_1017_length_19531_cov_3_60714_ID_2033,26,VIRSorter_NODE_1017_length_19531_cov_3_60714_ID_2033,26,1,1,10.93469074646135,,11.32224335559298,,,
VIRSorter_NODE_10207_length_4060_cov_6_224_ID_20413,9,VIRSorter_NODE_10207_length_4060_cov_6_224_ID_20413,9,1,1,5.38680578604491,,5.32773342725582,,,
VIRSorter_NODE_10235_length_4053_cov_29_0334_ID_20469,8,VIRSorter_NODE_10235_length_4053_cov_29_0334_ID_20469,8,1,1,7.83965870538224,,4.73576304644962,,,
VIRSorter_NODE_1023_length_19451_cov_45_7584_ID_2045,17,VIRSorter_NODE_1023_length_19451_cov_45_7584_ID_2045,17,1,2,12.93763058779972,,8.50719397293815,,,
VIRSorter_NODE_10243_length_4050_cov_3_00306_ID_20485,6,VIRSorter_NODE_10243_length_4050_cov_3_00306_ID_20485,6,1,2,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_10251_length_4047_cov_4_9699_ID_20501,9,VIRSorter_NODE_10251_length_4047_cov_4_9699_ID_20501,9,1,1,2.00791555881789,,5.32773342725582,,,
VIRSorter_NODE_10252_length_4047_cov_38_337_ID_20503,5,VIRSorter_NODE_10252_length_4047_cov_38_337_ID_20503,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_1026_length_19407_cov_28_9149_ID_2051,26,VIRSorter_NODE_1026_length_19407_cov_28_9149_ID_2051,26,1,1,15.38302536643491,,13.20653847014366,,,
VIRSorter_NODE_1027_length_19406_cov_185_653_ID_2053,18,VIRSorter_NODE_1027_length_19406_cov_185_653_ID_2053,18,1,3,8.75900747640289,,gene_3-gene_18:7.81831357912389,,,
VIRSorter_NODE_10296_length_4036_cov_18_6733_ID_20591,5,VIRSorter_NODE_10296_length_4036_cov_18_6733_ID_20591,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_10297_length_4035_cov_27_9291_ID_20593,6,VIRSorter_NODE_10297_length_4035_cov_27_9291_ID_20593,6,1,2,4.16129277473563,,2.28585287993779,,,
VIRSorter_NODE_10301_length_4035_cov_2_29683_ID_20601,3,VIRSorter_NODE_10301_length_4035_cov_2_29683_ID_20601,3,1,1,,2.33951664468230,,,,
VIRSorter_NODE_10328_length_4030_cov_4_32462_ID_20655,9,VIRSorter_NODE_10328_length_4030_cov_4_32462_ID_20655,9,1,3,8.81961604355502,,5.32773342725582,,,
VIRSorter_NODE_10340_length_4028_cov_39_969_ID_20679,6,VIRSorter_NODE_10340_length_4028_cov_39_969_ID_20679,6,1,1,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_10341_length_4027_cov_2_65385_ID_20681,4,VIRSorter_NODE_10341_length_4027_cov_2_65385_ID_20681,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_10344_length_4027_cov_175_244_ID_20687,5,VIRSorter_NODE_10344_length_4027_cov_175_244_ID_20687,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_10365_length_4020_cov_2_08708_ID_20729,4,VIRSorter_NODE_10365_length_4020_cov_2_08708_ID_20729,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_1038_length_19285_cov_9_77331_ID_2075,16,VIRSorter_NODE_1038_length_19285_cov_9_77331_ID_2075,16,1,2,14.23215937942227,,8.02436806155702,,,
VIRSorter_NODE_10390_length_4013_cov_1_4771_ID_20779,6,VIRSorter_NODE_10390_length_4013_cov_1_4771_ID_20779,6,1,2,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_10402_length_4010_cov_1_68504_ID_20803,5,VIRSorter_NODE_10402_length_4010_cov_1_68504_ID_20803,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_1041_length_19250_cov_19_6298_ID_2081,22,VIRSorter_NODE_1041_length_19250_cov_19_6298_ID_2081,22,1,6,17.32337966446565,,11.06430698541536,,,
VIRSorter_NODE_10460_length_3996_cov_1_38175_ID_20919,5,VIRSorter_NODE_10460_length_3996_cov_1_38175_ID_20919,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_1046_length_19129_cov_8_05926_ID_2091,26,VIRSorter_NODE_1046_length_19129_cov_8_05926_ID_2091,26,1,2,17.07711898690251,,13.20653847014366,,,
VIRSorter_NODE_10470_length_3992_cov_35_4502_ID_20939,5,VIRSorter_NODE_10470_length_3992_cov_35_4502_ID_20939,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_10475_length_3991_cov_16_8618_ID_20949,5,VIRSorter_NODE_10475_length_3991_cov_16_8618_ID_20949,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10480_length_3990_cov_2_63888_ID_20959,4,VIRSorter_NODE_10480_length_3990_cov_2_63888_ID_20959,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_104_length_51197_cov_14_1873_ID_207,78,VIRSorter_NODE_104_length_51197_cov_14_1873_ID_207,78,1,1,17.12451981547325,,33.13802534281341,,4.62181691770810,
VIRSorter_NODE_10506_length_3982_cov_8_05914_ID_21011,9,VIRSorter_NODE_10506_length_3982_cov_8_05914_ID_21011,9,1,3,5.38680578604491,,3.89359133625594,,,
VIRSorter_NODE_10508_length_3982_cov_13_0695_ID_21015,7,VIRSorter_NODE_10508_length_3982_cov_13_0695_ID_21015,7,1,3,5.07549135735669,,4.14379266564342,,,
VIRSorter_NODE_1055_length_19005_cov_6_97627_ID_2109,25,VIRSorter_NODE_1055_length_19005_cov_6_97627_ID_2109,25,1,3,12.96829715803162,,12.66572061178484,,,
VIRSorter_NODE_10574_length_3967_cov_146_352_ID_21147,7,VIRSorter_NODE_10574_length_3967_cov_146_352_ID_21147,7,1,2,2.48930326819235,4.31194133253841,4.14379266564342,,,
VIRSorter_NODE_10581_length_3966_cov_2_87992_ID_21161,5,VIRSorter_NODE_10581_length_3966_cov_2_87992_ID_21161,5,1,1,4.89978669086390,4.63327596782843,2.95985190403101,,,
VIRSorter_NODE_10582_length_3966_cov_5_19458_ID_21163,7,VIRSorter_NODE_10582_length_3966_cov_5_19458_ID_21163,7,1,1,3.65676864270504,,4.14379266564342,,,
VIRSorter_NODE_10586_length_3965_cov_5_48958_ID_21171,5,VIRSorter_NODE_10586_length_3965_cov_5_48958_ID_21171,5,1,2,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_10595_length_3964_cov_2_12744_ID_21189,4,VIRSorter_NODE_10595_length_3964_cov_2_12744_ID_21189,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_10598_length_3964_cov_3_20615_ID_21195,9,VIRSorter_NODE_10598_length_3964_cov_3_20615_ID_21195,9,1,1,5.38680578604491,,5.32773342725582,,,
VIRSorter_NODE_10600_length_3963_cov_29_0414_ID_21199,4,VIRSorter_NODE_10600_length_3963_cov_29_0414_ID_21199,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_10639_length_3953_cov_2_33664_ID_21277,4,VIRSorter_NODE_10639_length_3953_cov_2_33664_ID_21277,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_10644_length_3953_cov_5_99373_ID_21287,3,VIRSorter_NODE_10644_length_3953_cov_5_99373_ID_21287,3,1,1,2.93987201451834,,,,,
VIRSorter_NODE_10656_length_3949_cov_2_74464_ID_21311,7,VIRSorter_NODE_10656_length_3949_cov_2_74464_ID_21311,7,1,1,6.85970136720946,,4.14379266564342,,,
VIRSorter_NODE_10660_length_3946_cov_28_6874_ID_21319,5,VIRSorter_NODE_10660_length_3946_cov_28_6874_ID_21319,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10674_length_3943_cov_4_61059_ID_21347,9,VIRSorter_NODE_10674_length_3943_cov_4_61059_ID_21347,9,1,2,2.00791555881789,,5.32773342725582,,,
VIRSorter_NODE_10681_length_3941_cov_1_70294_ID_21361,4,VIRSorter_NODE_10681_length_3941_cov_1_70294_ID_21361,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_10695_length_3937_cov_6_32126_ID_21389,6,VIRSorter_NODE_10695_length_3937_cov_6_32126_ID_21389,6,1,1,4.16129277473563,,3.55182228483721,,,
VIRSorter_NODE_10707_length_3934_cov_12_0911_ID_21413,6,VIRSorter_NODE_10707_length_3934_cov_12_0911_ID_21413,6,1,1,4.16129277473563,,3.55182228483721,,,
VIRSorter_NODE_1070_length_18809_cov_13_3408_ID_2139,27,VIRSorter_NODE_1070_length_18809_cov_13_3408_ID_2139,27,1,3,14.64812514889437,,13.75020417137531,,,
VIRSorter_NODE_10713_length_3932_cov_2_39001_ID_21425,8,VIRSorter_NODE_10713_length_3932_cov_2_39001_ID_21425,8,1,1,2.22581054573474,,4.73576304644962,,,
VIRSorter_NODE_10741_length_3924_cov_2_31946_ID_21481,4,VIRSorter_NODE_10741_length_3924_cov_2_31946_ID_21481,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_10744_length_3923_cov_2_53899_ID_21487,7,VIRSorter_NODE_10744_length_3923_cov_2_53899_ID_21487,7,1,2,3.65676864270504,,4.14379266564342,,,
VIRSorter_NODE_10772_length_3917_cov_32_0142_ID_21543,7,VIRSorter_NODE_10772_length_3917_cov_32_0142_ID_21543,7,1,4,6.85970136720946,,4.14379266564342,,,
VIRSorter_NODE_10815_length_3907_cov_1_95106_ID_21629,5,VIRSorter_NODE_10815_length_3907_cov_1_95106_ID_21629,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10831_length_3901_cov_1_95999_ID_21661,5,VIRSorter_NODE_10831_length_3901_cov_1_95999_ID_21661,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_10836_length_3901_cov_15_3182_ID_21671,5,VIRSorter_NODE_10836_length_3901_cov_15_3182_ID_21671,5,1,1,2.01071095767098,,,,,
VIRSorter_NODE_10853_length_3898_cov_7_7327_ID_21705,4,VIRSorter_NODE_10853_length_3898_cov_7_7327_ID_21705,4,1,1,2.37333664615169,,,,,
VIRSorter_NODE_10863_length_3896_cov_42_0602_ID_21725,7,VIRSorter_NODE_10863_length_3896_cov_42_0602_ID_21725,7,1,2,6.85970136720946,,4.14379266564342,,,
VIRSorter_NODE_10868_length_3895_cov_7_42702_ID_21735,5,VIRSorter_NODE_10868_length_3895_cov_7_42702_ID_21735,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_108_length_50789_cov_16_9218_ID_215,62,VIRSorter_NODE_108_length_50789_cov_16_9218_ID_215,62,1,2,16.01315885162906,,25.93536739201208,,5.30785616121100,
VIRSorter_NODE_10940_length_3879_cov_4_96562_ID_21879,5,VIRSorter_NODE_10940_length_3879_cov_4_96562_ID_21879,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_10948_length_3877_cov_15_7_ID_21895,8,VIRSorter_NODE_10948_length_3877_cov_15_7_ID_21895,8,1,1,4.51418875484781,,4.73576304644962,,,
VIRSorter_NODE_10951_length_3876_cov_2_82289_ID_21901,6,VIRSorter_NODE_10951_length_3876_cov_2_82289_ID_21901,6,1,1,4.16129277473563,,3.55182228483721,,,
VIRSorter_NODE_10966_length_3870_cov_36_2733_ID_21931,8,VIRSorter_NODE_10966_length_3870_cov_36_2733_ID_21931,8,1,2,5.99834991174870,,4.73576304644962,,,
VIRSorter_NODE_11002_length_3861_cov_27_9513_ID_22003,6,VIRSorter_NODE_11002_length_3861_cov_27_9513_ID_22003,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_11035_length_3854_cov_2_08908_ID_22069,4,VIRSorter_NODE_11035_length_3854_cov_2_08908_ID_22069,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11055_length_3848_cov_42_6426_ID_22109,4,VIRSorter_NODE_11055_length_3848_cov_42_6426_ID_22109,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_1106_length_18499_cov_10_9099_ID_2211,26,VIRSorter_NODE_1106_length_18499_cov_10_9099_ID_2211,26,1,1,15.38302536643491,,13.20653847014366,,,
VIRSorter_NODE_11085_length_3839_cov_1_45851_ID_22169,7,VIRSorter_NODE_11085_length_3839_cov_1_45851_ID_22169,7,1,2,3.65676864270504,,2.81425248153116,,,
VIRSorter_NODE_11086_length_3839_cov_4_18777_ID_22171,7,VIRSorter_NODE_11086_length_3839_cov_4_18777_ID_22171,7,1,1,5.07549135735669,,2.81425248153116,,,
VIRSorter_NODE_11134_length_3829_cov_3_40708_ID_22267,5,VIRSorter_NODE_11134_length_3829_cov_3_40708_ID_22267,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_11136_length_3829_cov_18_1105_ID_22271,5,VIRSorter_NODE_11136_length_3829_cov_18_1105_ID_22271,5,1,2,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11144_length_3827_cov_2_27297_ID_22287,8,VIRSorter_NODE_11144_length_3827_cov_2_27297_ID_22287,8,1,2,7.83965870538224,,4.73576304644962,,,
VIRSorter_NODE_11155_length_3825_cov_1_96539_ID_22309,5,VIRSorter_NODE_11155_length_3825_cov_1_96539_ID_22309,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_11168_length_3822_cov_11_7732_ID_22335,7,VIRSorter_NODE_11168_length_3822_cov_11_7732_ID_22335,7,1,1,3.65676864270504,,4.14379266564342,,,
VIRSorter_NODE_11195_length_3816_cov_5_67308_ID_22389,4,VIRSorter_NODE_11195_length_3816_cov_5_67308_ID_22389,4,1,1,2.37333664615169,,,,,
VIRSorter_NODE_11197_length_3815_cov_2_43113_ID_22393,10,VIRSorter_NODE_11197_length_3815_cov_2_43113_ID_22393,10,1,1,9.79957338172781,,5.91970380806202,,,
VIRSorter_NODE_11200_length_3815_cov_7_05775_ID_22399,7,VIRSorter_NODE_11200_length_3815_cov_7_05775_ID_22399,7,1,3,5.07549135735669,,4.14379266564342,,,
VIRSorter_NODE_11201_length_3814_cov_3_67128_ID_22401,4,VIRSorter_NODE_11201_length_3814_cov_3_67128_ID_22401,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11243_length_3806_cov_3_44931_ID_22485,4,VIRSorter_NODE_11243_length_3806_cov_3_44931_ID_22485,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11265_length_3801_cov_2_14426_ID_22529,4,VIRSorter_NODE_11265_length_3801_cov_2_14426_ID_22529,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11274_length_3801_cov_29_524_ID_22547,5,VIRSorter_NODE_11274_length_3801_cov_29_524_ID_22547,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11282_length_3799_cov_2_72985_ID_22563,7,VIRSorter_NODE_11282_length_3799_cov_2_72985_ID_22563,7,1,3,2.48930326819235,,4.14379266564342,,,
VIRSorter_NODE_11303_length_3793_cov_2_6503_ID_22605,6,VIRSorter_NODE_11303_length_3793_cov_2_6503_ID_22605,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_11326_length_3788_cov_5_93526_ID_22651,8,VIRSorter_NODE_11326_length_3788_cov_5_93526_ID_22651,8,1,1,4.51418875484781,,4.73576304644962,,,
VIRSorter_NODE_11332_length_3786_cov_52_2339_ID_22663,4,VIRSorter_NODE_11332_length_3786_cov_52_2339_ID_22663,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11369_length_3775_cov_1_5148_ID_22737,4,VIRSorter_NODE_11369_length_3775_cov_1_5148_ID_22737,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11394_length_3766_cov_3_70789_ID_22787,6,VIRSorter_NODE_11394_length_3766_cov_3_70789_ID_22787,6,1,2,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_11395_length_3766_cov_16_3421_ID_22789,4,VIRSorter_NODE_11395_length_3766_cov_16_3421_ID_22789,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11399_length_3765_cov_2_18802_ID_22797,5,VIRSorter_NODE_11399_length_3765_cov_2_18802_ID_22797,5,1,2,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11421_length_3761_cov_1_82278_ID_22841,5,VIRSorter_NODE_11421_length_3761_cov_1_82278_ID_22841,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11428_length_3759_cov_3_56691_ID_22855,4,VIRSorter_NODE_11428_length_3759_cov_3_56691_ID_22855,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11458_length_3752_cov_1_97021_ID_22915,5,VIRSorter_NODE_11458_length_3752_cov_1_97021_ID_22915,5,1,1,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_11463_length_3751_cov_9_31457_ID_22925,4,VIRSorter_NODE_11463_length_3751_cov_9_31457_ID_22925,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11465_length_3750_cov_43_7428_ID_22929,4,VIRSorter_NODE_11465_length_3750_cov_43_7428_ID_22929,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11467_length_3749_cov_3_31115_ID_22933,5,VIRSorter_NODE_11467_length_3749_cov_3_31115_ID_22933,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_11471_length_3749_cov_59_947_ID_22941,6,VIRSorter_NODE_11471_length_3749_cov_59_947_ID_22941,6,1,1,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_11472_length_3749_cov_216_32_ID_22943,4,VIRSorter_NODE_11472_length_3749_cov_216_32_ID_22943,4,1,1,2.37333664615169,4.85468230304970,2.36788152322481,,,
VIRSorter_NODE_11489_length_3745_cov_48_6531_ID_22977,4,VIRSorter_NODE_11489_length_3745_cov_48_6531_ID_22977,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11491_length_3744_cov_2_61239_ID_22981,6,VIRSorter_NODE_11491_length_3744_cov_2_61239_ID_22981,6,1,1,2.81958587565650,,2.28585287993779,,,
VIRSorter_NODE_11499_length_3743_cov_1_93114_ID_22997,4,VIRSorter_NODE_11499_length_3743_cov_1_93114_ID_22997,4,1,1,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_114_length_49877_cov_9_15093_ID_227,86,VIRSorter_NODE_114_length_49877_cov_9_15093_ID_227,86,1,2,23.96687082823112,,39.24314558058338,,2.09253076281996,
VIRSorter_NODE_11517_length_3738_cov_7_79729_ID_23033,8,VIRSorter_NODE_11517_length_3738_cov_7_79729_ID_23033,8,1,1,2.22581054573474,,4.73576304644962,,,
VIRSorter_NODE_11527_length_3737_cov_4_9831_ID_23053,7,VIRSorter_NODE_11527_length_3737_cov_4_9831_ID_23053,7,1,1,5.07549135735669,,2.81425248153116,,,
VIRSorter_NODE_1152_length_18016_cov_4_84035_ID_2303,21,VIRSorter_NODE_1152_length_18016_cov_4_84035_ID_2303,21,1,3,16.43046313912865,,10.53928339423977,,,
VIRSorter_NODE_11533_length_3736_cov_9_21502_ID_23065,9,VIRSorter_NODE_11533_length_3736_cov_9_21502_ID_23065,9,1,1,8.81961604355502,,5.32773342725582,,,
VIRSorter_NODE_11535_length_3736_cov_10_2441_ID_23069,7,VIRSorter_NODE_11535_length_3736_cov_10_2441_ID_23069,7,1,1,2.48930326819235,,4.14379266564342,,,
VIRSorter_NODE_11576_length_3727_cov_1_5775_ID_23151,3,VIRSorter_NODE_11576_length_3727_cov_1_5775_ID_23151,3,1,2,2.93987201451834,,,,,
VIRSorter_NODE_11616_length_3720_cov_0_84275_ID_23231,7,VIRSorter_NODE_11616_length_3720_cov_0_84275_ID_23231,7,1,1,3.65676864270504,,2.81425248153116,,,
VIRSorter_NODE_11626_length_3719_cov_64_5473_ID_23251,3,VIRSorter_NODE_11626_length_3719_cov_64_5473_ID_23251,3,1,2,2.93987201451834,,,,,
VIRSorter_NODE_11662_length_3711_cov_10_5564_ID_23323,6,VIRSorter_NODE_11662_length_3711_cov_10_5564_ID_23323,6,1,1,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_11670_length_3709_cov_38_2035_ID_23339,6,VIRSorter_NODE_11670_length_3709_cov_38_2035_ID_23339,6,1,2,5.87974402903668,,3.55182228483721,,,
VIRSorter_NODE_11677_length_3708_cov_2_42949_ID_23353,5,VIRSorter_NODE_11677_length_3708_cov_2_42949_ID_23353,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11705_length_3702_cov_22_1373_ID_23409,7,VIRSorter_NODE_11705_length_3702_cov_22_1373_ID_23409,7,1,1,5.07549135735669,,4.14379266564342,,,
VIRSorter_NODE_11727_length_3696_cov_2_39283_ID_23453,5,VIRSorter_NODE_11727_length_3696_cov_2_39283_ID_23453,5,1,1,2.01071095767098,,,,,
VIRSorter_NODE_11737_length_3694_cov_1_0942_ID_23473,7,VIRSorter_NODE_11737_length_3694_cov_1_0942_ID_23473,7,1,1,3.65676864270504,,,,,
VIRSorter_NODE_11764_length_3689_cov_2_55081_ID_23527,4,VIRSorter_NODE_11764_length_3689_cov_2_55081_ID_23527,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11782_length_3685_cov_2_03316_ID_23563,4,VIRSorter_NODE_11782_length_3685_cov_2_03316_ID_23563,4,1,2,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11809_length_3680_cov_12_6305_ID_23617,3,VIRSorter_NODE_11809_length_3680_cov_12_6305_ID_23617,3,1,1,2.93987201451834,,,,,
VIRSorter_NODE_1180_length_17767_cov_21_9391_ID_2359,20,VIRSorter_NODE_1180_length_17767_cov_21_9391_ID_2359,20,1,4,13.63167415172682,,10.01986368058218,,,
VIRSorter_NODE_11822_length_3676_cov_1_52578_ID_23643,4,VIRSorter_NODE_11822_length_3676_cov_1_52578_ID_23643,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_11828_length_3675_cov_1_02734_ID_23655,4,VIRSorter_NODE_11828_length_3675_cov_1_02734_ID_23655,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_1185_length_17740_cov_12_5484_ID_2369,26,VIRSorter_NODE_1185_length_17740_cov_12_5484_ID_2369,26,1,1,3.20521735685610,,11.32224335559298,gene_10-gene_22:2.66677287139484,,
VIRSorter_NODE_11862_length_3667_cov_2_33418_ID_23723,9,VIRSorter_NODE_11862_length_3667_cov_2_33418_ID_23723,9,1,2,6.92785068212117,,5.32773342725582,,,
VIRSorter_NODE_11906_length_3657_cov_1_83966_ID_23811,4,VIRSorter_NODE_11906_length_3657_cov_1_83966_ID_23811,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_11972_length_3644_cov_3_95337_ID_23943,5,VIRSorter_NODE_11972_length_3644_cov_3_95337_ID_23943,5,1,1,4.89978669086390,,2.95985190403101,,,
VIRSorter_NODE_11986_length_3641_cov_3_33324_ID_23971,5,VIRSorter_NODE_11986_length_3641_cov_3_33324_ID_23971,5,1,1,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_12008_length_3638_cov_1_80234_ID_24015,6,VIRSorter_NODE_12008_length_3638_cov_1_80234_ID_24015,6,1,1,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_12022_length_3636_cov_85_2576_ID_24043,4,VIRSorter_NODE_12022_length_3636_cov_85_2576_ID_24043,4,1,1,,2.21490959205171,2.36788152322481,,,
VIRSorter_NODE_12023_length_3635_cov_1_47377_ID_24045,5,VIRSorter_NODE_12023_length_3635_cov_1_47377_ID_24045,5,1,2,3.25885887592900,,2.95985190403101,,,
VIRSorter_NODE_12028_length_3634_cov_9_85657_ID_24055,4,VIRSorter_NODE_12028_length_3634_cov_9_85657_ID_24055,4,1,1,2.37333664615169,,2.36788152322481,,,
VIRSorter_NODE_12043_length_3630_cov_2_1336_ID_24085,9,VIRSorter_NODE_12043_length_3630_cov_2_1336_ID_24085,9,1,1,2.00791555881789,,5.32773342725582,,,
VIRSorter_NODE_12059_length_3627_cov_4_37486_ID_24117,5,VIRSorter_NODE_12059_length_3627_cov_4_37486_ID_24117,5,1,2,2.01071095767098,,2.95985190403101,,,
VIRSorter_NODE_12062_length_3626_cov_1_56302_ID_24123,9,VIRSorter_NODE_12062_length_3626_cov_1_56302_ID_24123,9,1,2,5.38680578604491,,5.32773342725582,,,
VIRSorter_NODE_12064_length_3626_cov_1_65362_ID_24127,5,VIRSorter_NODE_12064_length_3626_cov_1_65362_ID_24127,5,1,1,4.89978669086390,,2.95985190403101,,,
